00AB	"
00B2	2
00B3	3
00B9	1
00BB	"
00C0	A
00C1	A
00C2	A
00C3	A
00C4	A
00C5	A
00C6	AE
00C7	C
00C8	E
00C9	E
00CA	E
00CB	E
00CC	I
00CD	I
00CE	I
00CF	I
00D0	D
00D1	N
00D2	O
00D3	O
00D4	O
00D5	O
00D6	O
00D8	O
00D9	U
00DA	U
00DB	U
00DC	U
00DD	Y
00DE	TH
00DF	ss
00E0	a
00E1	a
00E2	a
00E3	a
00E4	a
00E5	a
00E6	ae
00E7	c
00E8	e
00E9	e
00EA	e
00EB	e
00EC	i
00ED	i
00EE	i
00EF	i
00F0	d
00F1	n
00F2	o
00F3	o
00F4	o
00F5	o
00F6	o
00F8	o
00F9	u
00FA	u
00FB	u
00FC	u
00FD	y
00FE	th
00FF	y
0100	A
0101	a
0102	A
0103	a
0104	A
0105	a
0106	C
0107	c
0108	C
0109	c
010A	C
010B	c
010C	C
010D	c
010E	D
010F	d
0110	D
0111	d
0112	E
0113	e
0114	E
0115	e
0116	E
0117	e
0118	E
0119	e
011A	E
011B	e
011C	G
011D	g
011E	G
011F	g
0120	G
0121	g
0122	G
0123	g
0124	H
0125	h
0126	H
0127	h
0128	I
0129	i
012A	I
012B	i
012C	I
012D	i
012E	I
012F	i
0130	I
0131	i
0132	IJ
0133	ij
0134	J
0135	j
0136	K
0137	k
0138	q
0139	L
013A	l
013B	L
013C	l
013D	L
013E	l
013F	L
0140	l
0141	L
0142	l
0143	N
0144	n
0145	N
0146	n
0147	N
0148	n
0149	n
014A	N
014B	n
014C	O
014D	o
014E	O
014F	o
0150	O
0151	o
0152	OE
0153	oe
0154	R
0155	r
0156	R
0157	r
0158	R
0159	r
015A	S
015B	s
015C	S
015D	s
015E	S
015F	s
0160	S
0161	s
0162	T
0163	t
0164	T
0165	t
0166	T
0167	t
0168	U
0169	u
016A	U
016B	u
016C	U
016D	u
016E	U
016F	u
0170	U
0171	u
0172	U
0173	u
0174	W
0175	w
0176	Y
0177	y
0178	Y
0179	Z
017A	z
017B	Z
017C	z
017D	Z
017E	z
017F	s
0180	b
0181	B
0182	B
0183	b
0186	O
0187	C
0188	c
0189	D
018A	D
018B	D
018C	d
018E	E
018F	A
0190	E
0191	F
0192	f
0193	G
0195	hv
0196	I
0197	I
0198	K
0199	k
019A	l
019C	M
019D	N
019E	n
019F	O
01A0	O
01A1	o
01A4	P
01A5	p
01AB	t
01AC	T
01AD	t
01AE	T
01AF	U
01B0	u
01B2	V
01B3	Y
01B4	y
01B5	Z
01B6	z
01BF	w
01C4	DZ
01C5	Dz
01C6	dz
01C7	LJ
01C8	Lj
01C9	lj
01CA	NJ
01CB	Nj
01CC	nj
01CD	A
01CE	a
01CF	I
01D0	i
01D1	O
01D2	o
01D3	U
01D4	u
01D5	U
01D6	u
01D7	U
01D8	u
01D9	U
01DA	u
01DB	U
01DC	u
01DD	e
01DE	A
01DF	a
01E0	A
01E1	a
01E2	AE
01E3	ae
01E4	G
01E5	G
01E6	G
01E7	G
01E8	K
01E9	k
01EA	O
01EB	o
01EC	O
01ED	o
01F0	j
01F1	DZ
01F2	Dz
01F3	dz
01F4	G
01F5	g
01F6	HV
01F7	W
01F8	N
01F9	n
01FA	A
01FB	a
01FC	AE
01FD	ae
01FE	O
01FF	o
0200	A
0201	a
0202	A
0203	a
0204	E
0205	e
0206	E
0207	e
0208	I
0209	i
020A	I
020B	i
020C	O
020D	o
020E	O
020F	o
0210	R
0211	r
0212	R
0213	r
0214	U
0215	u
0216	U
0217	u
0218	S
0219	s
021A	T
021B	t
021C	Z
021D	z
021E	H
021F	h
0220	N
0221	d
0222	OU
0223	ou
0224	Z
0225	z
0226	A
0227	a
0228	E
0229	e
022A	O
022B	o
022C	O
022D	o
022E	O
022F	o
0230	O
0231	o
0232	Y
0233	y
0234	l
0235	n
0236	t
0237	j
0238	db
0239	qp
023A	A
023B	C
023C	c
023D	L
023E	T
023F	s
0240	z
0243	B
0244	U
0245	V
0246	E
0247	e
0248	J
0249	j
024A	Q
024B	q
024C	R
024D	r
024E	Y
024F	y
0250	a
0253	b
0254	o
0255	c
0256	d
0257	d
0258	e
0259	a
025A	a
025B	e
025C	e
025D	e
025E	e
025F	j
0260	g
0261	g
0262	G
0265	h
0266	h
0268	i
026A	I
026B	l
026C	l
026D	l
026F	m
0270	m
0271	m
0272	n
0273	n
0274	N
0275	o
0276	OE
027C	r
027D	r
027E	r
027F	r
0280	R
0281	R
0282	s
0284	j
0287	t
0288	t
0289	u
028B	v
028C	v
028D	w
028E	y
028F	Y
0290	z
0291	z
0297	C
0299	B
029A	e
029B	G
029C	H
029D	j
029E	k
029F	L
02A0	q
02A3	dz
02A5	dz
02A6	ts
02A8	tc
02AA	ls
02AB	lz
02AE	h
02AF	h
1D00	A
1D01	AE
1D02	ae
1D03	B
1D04	C
1D05	D
1D06	D
1D07	E
1D08	e
1D09	i
1D0A	J
1D0B	K
1D0C	L
1D0D	M
1D0E	N
1D0F	O
1D10	O
1D14	oe
1D15	OU
1D16	o
1D17	o
1D18	P
1D19	R
1D1A	R
1D1B	T
1D1C	U
1D20	V
1D21	W
1D22	Z
1D62	i
1D63	r
1D64	u
1D65	v
1D6B	ue
1D6C	b
1D6D	d
1D6E	f
1D6F	m
1D70	n
1D71	p
1D72	r
1D73	r
1D74	s
1D75	t
1D76	z
1D77	g
1D79	g
1D7A	th
1D7B	I
1D7C	i
1D7D	p
1D7E	U
1D80	b
1D81	d
1D82	f
1D83	g
1D84	k
1D85	l
1D86	m
1D87	n
1D88	p
1D89	r
1D8A	s
1D8C	v
1D8D	x
1D8E	z
1D8F	a
1D91	d
1D92	e
1D93	e
1D94	e
1D95	a
1D96	i
1D97	o
1D99	u
1E00	A
1E01	a
1E02	B
1E03	b
1E04	B
1E05	b
1E06	B
1E07	b
1E08	C
1E09	c
1E0A	D
1E0B	d
1E0C	D
1E0D	d
1E0E	D
1E0F	d
1E10	D
1E11	d
1E12	D
1E13	d
1E14	E
1E15	e
1E16	E
1E17	e
1E18	E
1E19	e
1E1A	E
1E1B	e
1E1C	E
1E1D	e
1E1E	F
1E1F	f
1E20	G
1E21	g
1E22	H
1E23	h
1E24	H
1E25	h
1E26	H
1E27	h
1E28	H
1E29	h
1E2A	H
1E2B	h
1E2C	I
1E2D	i
1E2E	I
1E2F	i
1E30	K
1E31	k
1E32	K
1E33	k
1E34	K
1E35	k
1E36	L
1E37	l
1E38	L
1E39	l
1E3A	L
1E3B	l
1E3C	L
1E3D	l
1E3E	M
1E3F	m
1E40	M
1E41	m
1E42	M
1E43	m
1E44	N
1E45	n
1E46	N
1E47	n
1E48	N
1E49	n
1E4A	N
1E4B	n
1E4C	O
1E4D	o
1E4E	O
1E4F	o
1E50	O
1E51	o
1E52	O
1E53	o
1E54	P
1E55	p
1E56	P
1E57	p
1E58	R
1E59	r
1E5A	R
1E5B	r
1E5C	R
1E5D	r
1E5E	R
1E5F	r
1E60	S
1E61	s
1E62	S
1E63	s
1E64	S
1E65	s
1E66	S
1E67	s
1E68	S
1E69	s
1E6A	T
1E6B	t
1E6C	T
1E6D	t
1E6E	T
1E6F	t
1E70	T
1E71	t
1E72	U
1E73	u
1E74	U
1E75	u
1E76	U
1E77	u
1E78	U
1E79	u
1E7A	U
1E7B	u
1E7C	V
1E7D	v
1E7E	V
1E7F	v
1E80	W
1E81	w
1E82	W
1E83	w
1E84	W
1E85	w
1E86	W
1E87	w
1E88	W
1E89	w
1E8A	X
1E8B	x
1E8C	X
1E8D	x
1E8E	Y
1E8F	y
1E90	Z
1E91	z
1E92	Z
1E93	z
1E94	Z
1E95	z
1E96	h
1E97	t
1E98	w
1E99	y
1E9A	a
1E9B	f
1E9C	s
1E9D	s
1E9E	SS
1EA0	A
1EA1	a
1EA2	A
1EA3	a
1EA4	A
1EA5	a
1EA6	A
1EA7	a
1EA8	A
1EA9	a
1EAA	A
1EAB	a
1EAC	A
1EAD	a
1EAE	A
1EAF	a
1EB0	A
1EB1	a
1EB2	A
1EB3	a
1EB4	A
1EB5	a
1EB6	A
1EB7	a
1EB8	E
1EB9	e
1EBA	E
1EBB	e
1EBC	E
1EBD	e
1EBE	E
1EBF	e
1EC0	E
1EC1	e
1EC2	E
1EC3	e
1EC4	E
1EC5	e
1EC6	E
1EC7	e
1EC8	I
1EC9	i
1ECA	I
1ECB	i
1ECC	O
1ECD	o
1ECE	O
1ECF	o
1ED0	O
1ED1	o
1ED2	O
1ED3	o
1ED4	O
1ED5	o
1ED6	O
1ED7	o
1ED8	O
1ED9	o
1EDA	O
1EDB	o
1EDC	O
1EDD	o
1EDE	O
1EDF	o
1EE0	O
1EE1	o
1EE2	O
1EE3	o
1EE4	U
1EE5	u
1EE6	U
1EE7	u
1EE8	U
1EE9	u
1EEA	U
1EEB	u
1EEC	U
1EED	u
1EEE	U
1EEF	u
1EF0	U
1EF1	u
1EF2	Y
1EF3	y
1EF4	Y
1EF5	y
1EF6	Y
1EF7	y
1EF8	Y
