0000	002F	00
0030	0039	02
003A	0040	00
0041	005A	20
005B	0060	00
0061	007A	20
007B	00A9	00
00AA	00AA	10
00AB	00B1	00
00B2	00B3	08
00B4	00B4	00
00B5	00B5	20
00B6	00B8	00
00B9	00B9	08
00BA	00BA	10
00BB	00BB	00
00BC	00BE	08
00BF	00BF	00
00C0	00D6	20
00D7	00D7	00
00D8	00F6	20
00F7	00F7	00
00F8	01BA	20
01BB	01BB	10
01BC	01BF	20
01C0	01C3	10
01C4	0293	20
0294	0294	10
0295	02C1	20
02C2	02C5	00
02C6	02D1	20
02D2	02DF	00
02E0	02E4	20
02E5	02EB	00
02EC	02EC	20
02ED	02ED	00
02EE	02EE	20
02EF	02FF	00
0300	036F	01
0370	0374	20
0375	0375	00
0376	0377	20
0378	0379	00
037A	037D	20
037E	037E	00
037F	037F	20
0380	0385	00
0386	0386	20
0387	0387	00
0388	038A	20
038B	038B	00
038C	038C	20
038D	038D	00
038E	03A1	20
03A2	03A2	00
03A3	03F5	20
03F6	03F6	00
03F7	0481	20
0482	0482	00
0483	0487	01
0488	0489	00
048A	052F	20
0530	0530	00
0531	0556	20
0557	0558	00
0559	0559	20
055A	055F	00
0560	0588	20
0589	0590	00
0591	05BD	01
05BE	05BE	00
05BF	05BF	01
05C0	05C0	00
05C1	05C2	01
05C3	05C3	00
05C4	05C5	01
05C6	05C6	00
05C7	05C7	01
05C8	05CF	00
05D0	05EA	10
05EB	05EE	00
05EF	05F2	10
05F3	060F	00
0610	061A	01
061B	061F	00
0620	063F	10
0640	0640	20
0641	064A	10
064B	065F	01
0660	0669	02
066A	066D	00
066E	066F	10
0670	0670	01
0671	06D3	10
06D4	06D4	00
06D5	06D5	10
06D6	06DC	01
06DD	06DE	00
06DF	06E4	01
06E5	06E6	20
06E7	06E8	01
06E9	06E9	00
06EA	06ED	01
06EE	06EF	10
06F0	06F9	02
06FA	06FC	10
06FD	06FE	00
06FF	06FF	10
0700	070F	00
0710	0710	10
0711	0711	01
0712	072F	10
0730	074A	01
074B	074C	00
074D	07A5	10
07A6	07B0	01
07B1	07B1	10
07B2	07BF	00
07C0	07C9	02
07CA	07EA	10
07EB	07F3	01
07F4	07F5	20
07F6	07F9	00
07FA	07FA	20
07FB	07FC	00
07FD	07FD	01
07FE	07FF	00
0800	0815	10
0816	0819	01
081A	081A	20
081B	0823	01
0824	0824	20
0825	0827	01
0828	0828	20
0829	082D	01
082E	083F	00
0840	0858	10
0859	085B	01
085C	085F	00
0860	086A	10
086B	089F	00
08A0	08B4	10
08B5	08B5	00
08B6	08C7	10
08C8	08D2	00
08D3	08E1	01
08E2	08E2	00
08E3	0902	01
0903	0903	00
0904	0939	10
093A	093A	01
093B	093B	00
093C	093C	01
093D	093D	10
093E	0940	00
0941	0948	01
0949	094C	00
094D	094D	01
094E	094F	00
0950	0950	10
0951	0957	01
0958	0961	10
0962	0963	01
0964	0965	00
0966	096F	02
0970	0970	00
0971	0971	20
0972	0980	10
0981	0981	01
0982	0984	00
0985	098C	10
098D	098E	00
098F	0990	10
0991	0992	00
0993	09A8	10
09A9	09A9	00
09AA	09B0	10
09B1	09B1	00
09B2	09B2	10
09B3	09B5	00
09B6	09B9	10
09BA	09BB	00
09BC	09BC	01
09BD	09BD	10
09BE	09C0	00
09C1	09C4	01
09C5	09CC	00
09CD	09CD	01
09CE	09CE	10
09CF	09DB	00
09DC	09DD	10
09DE	09DE	00
09DF	09E1	10
09E2	09E3	01
09E4	09E5	00
09E6	09EF	02
09F0	09F1	10
09F2	09F3	00
09F4	09F9	08
09FA	09FB	00
09FC	09FC	10
09FD	09FD	00
09FE	09FE	01
09FF	0A00	00
0A01	0A02	01
0A03	0A04	00
0A05	0A0A	10
0A0B	0A0E	00
0A0F	0A10	10
0A11	0A12	00
0A13	0A28	10
0A29	0A29	00
0A2A	0A30	10
0A31	0A31	00
0A32	0A33	10
0A34	0A34	00
0A35	0A36	10
0A37	0A37	00
0A38	0A39	10
0A3A	0A3B	00
0A3C	0A3C	01
0A3D	0A40	00
0A41	0A42	01
0A43	0A46	00
0A47	0A48	01
0A49	0A4A	00
0A4B	0A4D	01
0A4E	0A50	00
0A51	0A51	01
0A52	0A58	00
0A59	0A5C	10
0A5D	0A5D	00
0A5E	0A5E	10
0A5F	0A65	00
0A66	0A6F	02
0A70	0A71	01
0A72	0A74	10
0A75	0A75	01
0A76	0A80	00
0A81	0A82	01
0A83	0A84	00
0A85	0A8D	10
0A8E	0A8E	00
0A8F	0A91	10
0A92	0A92	00
0A93	0AA8	10
0AA9	0AA9	00
0AAA	0AB0	10
0AB1	0AB1	00
0AB2	0AB3	10
0AB4	0AB4	00
0AB5	0AB9	10
0ABA	0ABB	00
0ABC	0ABC	01
0ABD	0ABD	10
0ABE	0AC0	00
0AC1	0AC5	01
0AC6	0AC6	00
0AC7	0AC8	01
0AC9	0ACC	00
0ACD	0ACD	01
0ACE	0ACF	00
0AD0	0AD0	10
0AD1	0ADF	00
0AE0	0AE1	10
0AE2	0AE3	01
0AE4	0AE5	00
0AE6	0AEF	02
0AF0	0AF8	00
0AF9	0AF9	10
0AFA	0AFF	01
0B00	0B00	00
0B01	0B01	01
0B02	0B04	00
0B05	0B0C	10
0B0D	0B0E	00
0B0F	0B10	10
0B11	0B12	00
0B13	0B28	10
0B29	0B29	00
0B2A	0B30	10
0B31	0B31	00
0B32	0B33	10
0B34	0B34	00
0B35	0B39	10
0B3A	0B3B	00
0B3C	0B3C	01
0B3D	0B3D	10
0B3E	0B3E	00
0B3F	0B3F	01
0B40	0B40	00
0B41	0B44	01
0B45	0B4C	00
0B4D	0B4D	01
0B4E	0B54	00
0B55	0B56	01
0B57	0B5B	00
0B5C	0B5D	10
0B5E	0B5E	00
0B5F	0B61	10
0B62	0B63	01
0B64	0B65	00
0B66	0B6F	02
0B70	0B70	00
0B71	0B71	10
0B72	0B77	08
0B78	0B81	00
0B82	0B82	01
0B83	0B83	10
0B84	0B84	00
0B85	0B8A	10
0B8B	0B8D	00
0B8E	0B90	10
0B91	0B91	00
0B92	0B95	10
0B96	0B98	00
0B99	0B9A	10
0B9B	0B9B	00
0B9C	0B9C	10
0B9D	0B9D	00
0B9E	0B9F	10
0BA0	0BA2	00
0BA3	0BA4	10
0BA5	0BA7	00
0BA8	0BAA	10
0BAB	0BAD	00
0BAE	0BB9	10
0BBA	0BBF	00
0BC0	0BC0	01
0BC1	0BCC	00
0BCD	0BCD	01
0BCE	0BCF	00
0BD0	0BD0	10
0BD1	0BE5	00
0BE6	0BEF	02
0BF0	0BF2	08
0BF3	0BFF	00
0C00	0C00	01
0C01	0C03	00
0C04	0C04	01
0C05	0C0C	10
0C0D	0C0D	00
0C0E	0C10	10
0C11	0C11	00
0C12	0C28	10
0C29	0C29	00
0C2A	0C39	10
0C3A	0C3C	00
0C3D	0C3D	10
0C3E	0C40	01
0C41	0C45	00
0C46	0C48	01
0C49	0C49	00
0C4A	0C4D	01
0C4E	0C54	00
0C55	0C56	01
0C57	0C57	00
0C58	0C5A	10
0C5B	0C5F	00
0C60	0C61	10
0C62	0C63	01
0C64	0C65	00
0C66	0C6F	02
0C70	0C77	00
0C78	0C7E	08
