# GENERATED FILE - DO NOT EDIT BY HAND.
# Source: Android SDK 37.0 org/ccil/cowan/tagsoup/HTMLSchema.java
# Source SHA-256: de0c852e37a571bae0805af2fd8718686d1a090ecba9c21ae7c9bfd7c7c22f13
# Copyright 2002-2008 John Cowan; licensed under Apache License 2.0.
# Contract: preserve elementType source order and attach each exact parent declaration by name.
# Regenerate: evaluate constants in elementType(NAME, MODEL, MEMBER_OF, FLAGS) calls from that exact
# pinned source, join its parent(NAME, PARENT) calls, and emit uppercase fixed-width hex fields.
# NAME	MODEL_HEX	MEMBER_OF_HEX	FLAGS_HEX	OPTIONAL_PARENT
<pcdata>	00000000	40000000	00	body
<root>	80000000	00000000	00
a	40008000	00001000	00	body
abbr	40001000	00009000	01	body
acronym	40001000	00009000	01	body
address	40041000	00000004	00	body
applet	40081004	00009000	00	body
area	00000000	00000002	00	map
b	40001000	00009000	01	body
base	00000000	00000400	00	head
basefont	00000000	00009000	00	body
bdo	40001000	00009000	01	body
bgsound	00000000	00000400	00	head
big	40001000	00009000	01	body
blink	40001000	00009000	01	body
blockquote	40001004	00000004	00	body
body	40001004	00000810	00	html
br	00000000	00009000	00	body
button	40001004	00009000	00	form
canvas	40001000	00009000	00	body
caption	40001000	00200000	00	table
center	40001004	00000004	00	body
cite	40001000	00009000	01	body
code	40001000	00009000	01	body
col	00000000	00200040	00	table
colgroup	00000040	00200000	00	table
comment	40001000	00009000	00	body
dd	40001004	00000080	00	dl
del	40001004	0000100C	01	body
dfn	40001000	00009000	01	body
dir	00004000	00000004	00	body
div	40001004	00000004	00	body
dl	00000080	00000004	00	body
dt	40001000	00000080	00	dl
em	40001000	00009000	01	body
fieldset	40003004	00000004	00	form
font	40001000	00009000	00	body
form	40409024	00000104	04	body
frame	00000000	00000200	00	frameset
frameset	00000200	00000A00	00	html
h1	40001000	00000004	00	body
h2	40001000	00000004	00	body
h3	40001000	00000004	00	body
h4	40001000	00000004	00	body
h5	40001000	00000004	00	body
h6	40001000	00000004	00	body
head	00000400	00000800	00	html
hr	00000000	00000004	00	body
html	00000800	80000000	00	<root>
i	40001000	00009000	01	body
iframe	40001004	00009000	00	body
img	00000000	00009000	00	body
input	00000000	00009000	00	form
ins	40001004	00001004	01	body
isindex	00000000	00000400	00	head
kbd	40001000	00009000	01	body
label	40001000	00009000	00	form
legend	40001000	00002000	00	fieldset
li	40001004	00004000	00	ul
link	00000000	00001400	00	head
listing	40001000	00000004	00	body
map	00000006	00001000	00	body
marquee	40001000	00009000	00	body
menu	00004000	00000004	00	body
meta	00000000	00000400	00	head
nobr	40001000	00009000	00	body
noframes	00001014	00000A04	00	html
noscript	40001004	00000004	00	body
object	40081004	00009400	00	body
ol	00004000	00000004	00	body
optgroup	00020000	00020000	00	select
option	40000000	00030000	00	select
p	40101000	00040004	00	body
param	00000000	00080000	00	object
pre	40001000	00000004	00	body
q	40001000	00009000	01	body
rb	40001000	00009000	01	body
rbc	40001000	00009000	01	body
rp	40001000	00009000	01	body
rt	40001000	00009000	01	body
rtc	40001000	00009000	01	body
ruby	40001000	00009000	01	body
s	40001000	00009000	01	body
samp	40001000	00009000	01	body
script	40000000	7FFFFFFF	02	html
select	00020000	00001000	00	form
small	40001000	00009000	01	body
span	40001000	00009000	00	body
strike	40001000	00009000	01	body
strong	40001000	00009000	01	body
style	40000000	00001400	02	head
sub	40001000	00009000	01	body
sup	40001000	00009000	01	body
table	00200100	00100004	04	body
tbody	00400000	00200000	00	table
td	40001004	00000020	00	tr
textarea	40000000	00001000	00	form
tfoot	00400120	00200000	00	table
th	40001004	00000020	00	tr
thead	00400120	00200000	00	table
title	40000000	00000400	00	head
tr	00000120	00600000	00	tbody
tt	40001000	00009000	01	body
u	40001000	00009000	01	body
ul	00004000	00000004	00	body
var	40001000	00009000	00	body
wbr	00000000	00009000	00	body
xmp	40001000	00000004	00	body
